RUNS,ch,material,# of events,mean,standard dev,width,width uncertainty,MP,MP uncertainty,chi2,ndf,x position,z position,angle,bias [V],gain1,gain2,gain3,gain4
1025,4,glass,42683,86.828999,56.510663,8.688608,0.127514,56.670186,0.197481,377.828675,196,1314,286,0,54.4,900,900,,
1025,5,glass,40608,76.354882,56.271122,8.227282,0.112123,46.468988,0.162202,310.956015,196,1314,286,0,54.4,900,900,,
1025,6,glass,40475,73.572987,56.199575,7.940671,0.109876,44.071082,0.161433,389.08562,196,1314,286,0,54.4,900,900,,
1025,7,glass,42768,88.832051,59.524572,10.408799,0.140753,55.300475,0.198298,357.741418,196,1314,286,0,54.4,900,900,,
1025,16,plastic,53242,193.753593,136.150292,28.629183,0.33079,133.316337,0.370325,203.1734,121,1314,286,0,54.4,900,900,,
1025,17,plastic,53414,163.082846,129.903816,25.227243,0.296318,115.01157,0.339079,358.303791,121,1314,286,0,54.4,900,900,,
1025,18,plastic,53097,196.488823,135.739831,29.61827,0.320411,126.466733,0.370475,152.686482,121,1314,286,0,54.4,900,900,,
1025,19,plastic,52221,179.2436,133.070225,31.724163,0.369256,119.032258,0.016215,472.77411,120,1314,286,0,54.4,900,900,,
1035 & 1037,4,glass,30636,87.450721,57.234364,9.034646,0.155074,56.483575,0.235785,332.95686,196,1302,249,0,54.4,900,900,900,900
1035 & 1037,5,glass,28926,76.633431,56.84151,8.384619,0.1347,46.068664,0.194021,305.072159,196,1302,249,0,54.4,900,900,,
1035 & 1037,6,glass,29488,72.303681,56.039556,7.990237,0.127054,42.741706,0.184338,273.398864,196,1302,249,0,54.4,900,900,,
1035 & 1037,7,glass,31302,84.914099,56.940535,8.844943,0.151782,54.233282,0.235222,359.631486,196,1302,249,0,54.4,900,900,,
1035 & 1037,16,plastic,38608,237.208175,154.489977,37.442809,0.490314,155.455861,0.581466,295.344757,121,1302,249,0,54.4,900,900,,
1035 & 1037,17,plastic,38449,230.182303,142.688277,36.0108,0.406522,151.706205,0.481635,178.823017,116,1302,249,0,54.4,900,900,,
1035 & 1037,18,plastic,38443,181.148611,143.756367,30.449429,0.417281,118.789475,0.501073,946.789697,120,1302,249,0,54.4,900,900,,
1035 & 1037,19,plastic,37711,143.323493,127.716157,26.111175,0.516967,103.333333,0.022181,452.884884,116,1302,249,0,54.4,900,900,,
1111,4,glass,98634,84.251098,55.075472,8.900414,0.079834,54.347494,0.124731,602.819451,206,1300,276,0,54.4,900,900,,
1111,5,glass,102263,89.987669,54.080708,8.923099,0.081961,60.700012,0.134544,693.727109,206,1300,276,0,54.4,900,900,,
1111,6,glass,100943,82.260566,53.611546,8.421989,0.075075,53.581755,0.121594,710.338874,206,1300,276,0,54.4,900,900,,
1111,7,glass,101548,90.69021,55.889635,9.536796,0.08735,59.912321,0.140111,783.856675,206,1300,276,0,54.4,900,900,,
1111,16,plastic,116438,190.114495,131.270692,28.149746,0.198103,127.993029,0.23736,342.879681,113,1300,276,0,54.4,900,900,,
1111,17,plastic,117239,198.055254,133.944317,34.16939,0.317728,152.937959,0.375699,279.74385,116,1300,276,0,54.4,900,900,,
